,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
1,112,1,1,2025-09-07,BUF,,BAL,W 41-40,*,33,46,71.7,394,2,0,8.6,9.43,112.0,1,5,14,30,2,2.1,0,0,0,0,0,0,85,100.0,0,0.0,0,0.0
2,113,2,2,2025-09-14,BUF,@,NYJ,W 30-10,*,14,25,56.0,148,0,0,5.9,5.92,73.4,1,1,6,59,0,9.8,0,0,0,0,0,0,65,86.7,0,0.0,0,0.0
3,114,3,3,2025-09-18,BUF,,MIA,W 31-21,*,22,28,78.6,213,3,0,7.6,9.75,134.1,2,10,4,25,0,6.3,1,0,0,1,-2,0,60,100.0,0,0.0,0,0.0
4,115,4,4,2025-09-28,BUF,,NOR,W 31-19,*,16,22,72.7,209,2,1,9.5,9.27,113.6,3,18,7,45,1,6.4,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
5,116,5,5,2025-10-05,BUF,,NWE,L 20-23,*,22,31,71.0,253,2,1,8.2,8.00,103.3,1,8,9,53,0,5.9,1,1,0,0,-6,0,68,100.0,0,0.0,0,0.0
6,117,6,6,2025-10-13,BUF,@,ATL,L 14-24,*,15,26,57.7,180,2,2,6.9,5.00,72.6,4,23,6,42,0,7.0,2,0,0,0,-3,0,57,100.0,0,0.0,0,0.0
7,118,7,8,2025-10-26,BUF,@,CAR,W 40-9,*,12,19,63.2,163,1,0,8.6,9.63,108.0,2,20,3,7,2,2.3,0,0,0,0,0,0,52,82.5,0,0.0,0,0.0
8,119,8,9,2025-11-02,BUF,,KAN,W 28-21,*,23,26,88.5,273,1,0,10.5,11.27,123.2,3,10,6,19,2,3.2,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
9,120,9,10,2025-11-09,BUF,@,MIA,L 13-30,*,28,40,70.0,306,2,1,7.7,7.53,98.5,3,17,4,31,0,7.8,1,1,0,0,0,0,65,95.6,0,0.0,0,0.0
10,121,10,11,2025-11-16,BUF,,TAM,W 44-32,*,19,30,63.3,317,3,2,10.6,9.57,104.4,0,0,6,40,3,6.7,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
11,122,11,12,2025-11-20,BUF,@,HOU,L 19-23,*,24,34,70.6,253,0,2,7.4,4.79,67.4,8,70,5,20,0,4.0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
12,123,12,13,2025-11-30,BUF,@,PIT,W 26-7,*,15,23,65.2,123,1,1,5.3,4.26,75.1,0,0,8,38,1,4.8,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
13,124,13,14,2025-12-07,BUF,,CIN,W 39-34,*,22,28,78.6,251,3,0,9.0,11.11,139.7,3,18,9,78,1,8.7,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
14,125,14,15,2025-12-14,BUF,@,NWE,W 35-31,*,19,28,67.9,193,3,0,6.9,9.04,123.1,2,12,11,48,0,4.4,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
15,126,15,16,2025-12-21,BUF,@,CLE,W 23-20,*,12,19,63.2,130,0,0,6.8,6.84,83.2,2,35,7,17,0,2.4,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
16,127,16,17,2025-12-28,BUF,,PHI,L 12-13,*,23,35,65.7,262,0,0,7.5,7.49,88.0,5,51,7,27,2,3.9,2,1,0,1,-6,0,76,100.0,0,0.0,0,0.0
17,128,17,18,2026-01-04,BUF,,NYJ,W 35-8,*,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,1,1.3,0,0.0,0,0.0
,,,,,,,,12-5,,319,460,69.3,3668,25,10,8.0,8.08,102.2,40,298,112,579,14,5.2,7,3,0,2,-17,0,1034,91.3,0,0.0,0,0.0
